Matveeva, Svetlana, Svetlana Matveeva, Russia,1969,,
Nilsson, Allan, Allan Nilsson, Sweden,1899,1949,
Bartel, Mateusz, Mateusz Bartel, Poland,1985,,
Hosmer, Henry, Henry Hosmer, US,1837,1892,
